time,step-size,{HMI}.HMIInstance.h_command,{PT}.PTInstance.ack_END_USER,{PT}.PTInstance.ack_TEST_STATION,{PT}.PTInstance.ack_WAGON,{PT}.PTInstance.ack_WAITING_ROOM,{PT}.PTInstance.ack_WAREHOUSE,{PT}.PTInstance.commandAck,{PT}.PTInstance.leaveStationA,{PT}.PTInstance.p_ID,{PT}.PTInstance.speedA,{PT}.PTInstance.t_ID,{PT}.PTInstance.t_valid,{PT}.PTInstance.w_in1,{PT}.PTInstance.w_in2,{PT}.PTInstance.w_in3,{PT}.PTInstance.w_valid,{PT}.PTInstance.wagonPositions,{ROBOT}.ROBOTInstance.r_out,{TEST}.TESTInstance.t_out,{TEST}.TESTInstance.t_status,{TEST}.TESTInstance.testResult,{WAG}.WAGInstance.pos,{WH}.WHInstance.r_ID,{WH}.WHInstance.r_in1,{WH}.WHInstance.r_in2,{WH}.WHInstance.w_out
0.0,0.0,0,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,0,0,0,0,true,0,0,0,0,0
5.0,5.0,81932,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,1024,0,0,0,true,1,0,0,0,0
10.0,5.0,81932,0,0,0,0,1,81921,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,1,0,0,0,0
15.0,5.0,215685,0,0,0,0,1,81921,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,2,9,1,11,0
20.0,5.0,215685,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,2,11,1,11,0
25.0,5.0,149802,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,3,11,1,11,0
30.0,5.0,149802,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,3146752,0,0,0,true,3,11,1,11,0
35.0,5.0,248453,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,3146752,0,0,0,true,4,19,1,11,0
40.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,4,21,1,11,0
45.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,5,21,1,11,0
50.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,0,0,0,true,5,21,1,11,0
55.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,0,0,0,true,6,29,1,11,0
60.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,6,31,1,11,0
65.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,7,31,1,11,0
70.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,7341056,0,0,0,true,7,31,1,11,0
75.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,7341056,0,0,0,true,8,39,2,12,0
80.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,8389632,1,0,0,true,8,41,2,12,0
85.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,8389632,1,0,0,true,9,41,2,12,0
90.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,9438208,1,0,0,true,9,41,2,12,0
95.0,5.0,199301,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,9438208,0,0,0,true,10,41,2,12,0
100.0,5.0,199301,0,0,0,0,1,196615,false,1,1,0,false,0,0,0,true,10486784,0,0,0,true,10,51,2,12,0
105.0,5.0,286199,0,0,0,0,1,196615,false,1,1,0,false,0,0,0,true,10486784,1,0,0,true,11,54,2,12,0
110.0,5.0,286199,0,0,0,0,1,278529,false,1,1,0,false,0,0,0,true,11535360,1,0,0,true,11,54,2,12,0
115.0,5.0,318967,0,0,0,0,1,278529,false,1,1,0,false,0,0,0,true,11535360,1,0,0,true,12,54,2,12,0
120.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,12583936,0,0,0,true,12,54,2,12,0
125.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,12583936,0,0,0,true,13,64,2,12,0
130.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,13632512,1,0,0,true,13,66,3,13,0
135.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,13632512,1,0,0,true,14,66,3,13,0
140.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,14681088,1,0,0,true,14,66,3,13,0
145.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,14681088,0,0,0,true,15,66,3,13,0
150.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,15729664,0,0,0,true,15,76,3,13,0
155.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,15729664,1,0,0,true,16,79,3,13,0
160.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,16778240,1,0,0,true,16,79,3,13,0
165.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,0,0,0,true,16778240,1,0,0,true,17,79,3,13,0
