time,step-size,{HMI}.HMIInstance.h_command,{PT}.PTInstance.ack_END_USER,{PT}.PTInstance.ack_TEST_STATION,{PT}.PTInstance.ack_WAGON,{PT}.PTInstance.ack_WAITING_ROOM,{PT}.PTInstance.ack_WAREHOUSE,{PT}.PTInstance.commandAck,{PT}.PTInstance.leaveStationA,{PT}.PTInstance.p_ID,{PT}.PTInstance.speedA,{PT}.PTInstance.t_ID,{PT}.PTInstance.t_valid,{PT}.PTInstance.w_in1,{PT}.PTInstance.w_in2,{PT}.PTInstance.w_in3,{PT}.PTInstance.w_valid,{PT}.PTInstance.wagonPositions,{ROBOT}.ROBOTInstance.r_out,{TEST}.TESTInstance.t_out,{TEST}.TESTInstance.t_status,{TEST}.TESTInstance.testResult,{WAG}.WAGInstance.pos,{WH}.WHInstance.r_ID,{WH}.WHInstance.r_in1,{WH}.WHInstance.r_in2,{WH}.WHInstance.w_out
0.0,0.0,0,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,0,0,0,0,true,0,0,0,0,0
10.0,10.0,81932,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,1024,0,0,0,true,1,0,0,0,0
20.0,10.0,81932,0,0,0,0,1,81921,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,2,0,0,0,0
30.0,10.0,215685,0,0,0,0,1,81921,false,1,1,0,false,0,0,0,true,2098176,0,0,0,true,3,16,1,11,0
40.0,10.0,215685,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,3146752,0,0,0,true,4,21,1,11,0
50.0,10.0,149802,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,4195328,0,0,0,true,5,26,2,12,0
60.0,10.0,149802,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,5243904,0,0,0,true,6,31,2,12,0
70.0,10.0,248453,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,6292480,0,0,0,true,7,36,2,12,0
80.0,10.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,7341056,0,0,0,true,8,41,2,12,0
90.0,10.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,8389632,0,0,0,true,9,46,3,13,0
100.0,10.0,199301,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,9438208,0,0,0,true,10,51,3,13,0
110.0,10.0,199301,0,0,0,0,1,196615,false,1,1,0,false,0,0,0,true,10486784,0,0,0,true,11,56,3,13,0
120.0,10.0,286199,0,0,0,0,1,196615,false,1,1,0,false,0,0,0,true,11535360,0,0,0,true,12,61,3,13,0
130.0,10.0,286199,0,0,0,0,1,278529,false,1,1,0,false,0,0,0,true,12583936,0,0,0,true,13,66,3,13,0
140.0,10.0,318967,0,0,0,0,1,278529,false,1,1,0,false,0,0,0,true,13632512,0,0,0,true,14,0,4,0,1
150.0,10.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,14681088,0,0,0,true,15,0,4,0,1
160.0,10.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,15729664,0,0,0,true,16,81,2,12,1
170.0,10.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,16778240,0,0,0,true,17,85,2,12,1
180.0,10.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,17826816,0,0,0,true,18,0,4,0,2
190.0,10.0,318967,0,0,0,2,4,311297,false,4,1,0,false,7,5,3,true,18875392,0,0,0,true,19,0,4,0,2
