time,step-size,{HMI}.HMIInstance.h_command,{PT}.PTInstance.ack_END_USER,{PT}.PTInstance.ack_TEST_STATION,{PT}.PTInstance.ack_WAGON,{PT}.PTInstance.ack_WAITING_ROOM,{PT}.PTInstance.ack_WAREHOUSE,{PT}.PTInstance.commandAck,{PT}.PTInstance.leaveStationA,{PT}.PTInstance.p_ID,{PT}.PTInstance.speedA,{PT}.PTInstance.t_ID,{PT}.PTInstance.t_valid,{PT}.PTInstance.w_in1,{PT}.PTInstance.w_in2,{PT}.PTInstance.w_in3,{PT}.PTInstance.w_valid,{PT}.PTInstance.wagonPositions,{ROBOT}.ROBOTInstance.r_out,{TEST}.TESTInstance.t_out,{TEST}.TESTInstance.t_status,{TEST}.TESTInstance.testResult,{WAG}.WAGInstance.pos,{WH}.WHInstance.r_ID,{WH}.WHInstance.r_in1,{WH}.WHInstance.r_in2,{WH}.WHInstance.w_out
0.0,0.0,0,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,0,0,0,0,true,0,0,0,0,0
1.0,1.0,0,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,1024,0,0,0,true,1,0,0,0,0
2.0,1.0,81932,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,1024,0,0,0,true,1,0,0,0,0
3.0,1.0,81932,0,0,0,0,1,81921,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,1,0,0,0,0
4.0,1.0,149802,0,0,0,0,1,81921,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,1,0,0,0,0
5.0,1.0,149802,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,1,4,1,11,0
6.0,1.0,149802,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,1049600,1,0,0,true,1,4,1,11,0
7.0,1.0,182570,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,1049600,1,0,0,true,1,4,1,11,0
8.0,1.0,182570,0,0,0,0,1,147457,false,1,1,0,false,0,0,0,true,1049600,1,0,0,true,1,4,1,11,0
9.0,1.0,182570,0,0,0,0,1,180225,false,1,1,0,false,0,0,0,true,1049600,1,0,0,true,1,4,1,11,0
10.0,1.0,182570,0,0,0,0,1,180225,false,1,1,0,false,0,0,0,true,1049600,1,0,0,true,1,4,1,11,0
11.0,1.0,215685,0,0,0,0,1,180225,false,1,1,0,false,0,0,0,true,1049600,1,0,0,true,2,4,1,11,0
12.0,1.0,215685,0,0,0,0,1,180225,false,1,1,0,false,0,0,0,true,1049600,0,0,0,true,2,4,1,11,0
13.0,1.0,215685,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,2098176,0,0,0,true,2,4,1,11,0
14.0,1.0,215685,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,2098176,0,0,0,true,2,4,1,11,0
15.0,1.0,248453,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,2098176,0,0,0,true,2,9,2,12,0
16.0,1.0,248453,0,0,0,0,1,212993,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,2,9,2,12,0
17.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,2,9,2,12,0
18.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,2,9,2,12,0
19.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,2,9,2,12,0
20.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,2,9,2,12,0
21.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,3,9,2,12,0
22.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,2098176,1,0,0,true,3,9,2,12,0
23.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,0,0,0,true,3,9,2,12,0
24.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,0,0,0,true,3,9,2,12,0
25.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,0,0,0,true,3,14,2,12,0
26.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,3,14,2,12,0
27.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,3,14,2,12,0
28.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,3,14,2,12,0
29.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,3,14,2,12,0
30.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,3,14,2,12,0
31.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,4,14,2,12,0
32.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,3146752,1,0,0,true,4,14,2,12,0
33.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,0,0,0,true,4,14,2,12,0
34.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,0,0,0,true,4,14,2,12,0
35.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,0,0,0,true,4,19,2,12,0
36.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,4,19,2,12,0
37.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,4,19,2,12,0
38.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,4,19,2,12,0
39.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,4,19,2,12,0
40.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,4,19,2,12,0
41.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,5,19,2,12,0
42.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,4195328,1,0,0,true,5,19,2,12,0
43.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,0,0,0,true,5,19,2,12,0
44.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,0,0,0,true,5,19,2,12,0
45.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,0,0,0,true,5,24,2,12,0
46.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,5,24,2,12,0
47.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,5,24,2,12,0
48.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,5,24,2,12,0
49.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,5,24,2,12,0
50.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,5,24,2,12,0
51.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,6,24,2,12,0
52.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,5243904,1,0,0,true,6,24,2,12,0
53.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,0,0,0,true,6,24,2,12,0
54.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,0,0,0,true,6,24,2,12,0
55.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,0,0,0,true,6,29,2,12,0
56.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,6,29,2,12,0
57.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,6,29,2,12,0
58.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,6,29,2,12,0
59.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,6,29,2,12,0
60.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,6,29,2,12,0
61.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,7,29,2,12,0
62.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,6292480,1,0,0,true,7,29,2,12,0
63.0,1.0,248453,0,0,0,0,1,245761,false,1,1,0,false,0,0,0,true,7341056,0,0,0,true,7,29,2,12,0
